
=== 最近三期百位连号 [9, 1, 4] 的历史中间期号及前后5期（倒序排列） ===

--- 百位连号中间期号: 2005183 前后5期 ---
期号: 2005178, 百位: 0, 十位: 7, 个位: 5, 日期: 2005-07-04
期号: 2021018, 百位: 1, 十位: 2, 个位: 5, 日期: 2021-01-18
期号: 2021019, 百位: 8, 十位: 1, 个位: 5, 日期: 2021-01-19
期号: 2021020, 百位: 7, 十位: 9, 个位: 9, 日期: 2021-01-20
期号: 2021021, 百位: 4, 十位: 0, 个位: 1, 日期: 2021-01-21
期号: 2021022, 百位: 9, 十位: 4, 个位: 9, 日期: 2021-01-22
期号: 2021023, 百位: 1, 十位: 3, 个位: 1, 日期: 2021-01-23

--- 十位连号中间期号: 2022309 前后5期 ---
期号: 2022304, 百位: 7, 十位: 6, 个位: 7, 日期: 2022-11-14
期号: 2022305, 百位: 3, 十位: 1, 个位: 5, 日期: 2022-11-15
期号: 2022306, 百位: 1, 十位: 8, 个位: 8, 日期: 2022-11-16
期号: 2022307, 百位: 7, 十位: 6, 个位: 2, 日期: 2022-11-17
期号: 2022308, 百位: 0, 十位: 8, 个位: 7, 日期: 2022-11-18
期号: 2022309, 百位: 2, 十位: 2, 个位: 0, 日期: 2022-11-19
期号: 2022310, 百位: 9, 十位: 1, 个位: 1, 日期: 2022-11-20
期号: 2022311, 百位: 9, 十位: 2, 个位: 3, 日期: 2022-11-21
期号: 2022312, 百位: 5, 十位: 2, 个位: 7, 日期: 2022-11-22
期号: 2022313, 百位: 9, 十位: 4, 个位: 2, 日期: 2022-11-23
期号: 2022314, 百位: 7, 十位: 1, 个位: 4, 日期: 2022-11-24

--- 十位连号中间期号: 2023314 前后5期 ---
期号: 2023309, 百位: 2, 十位: 0, 个位: 2, 日期: 2023-11-19
期号: 2023310, 百位: 9, 十位: 5, 个位: 6, 日期: 2023-11-20
期号: 2023311, 百位: 2, 十位: 7, 个位: 1, 日期: 2023-11-21
期号: 2023312, 百位: 7, 十位: 9, 个位: 1, 日期: 2023-11-22
期号: 2023313, 百位: 9, 十位: 8, 个位: 9, 日期: 2023-11-23
期号: 2023314, 百位: 2, 十位: 2, 个位: 8, 日期: 2023-11-24
期号: 2023315, 百位: 6, 十位: 1, 个位: 8, 日期: 2023-11-25
期号: 2023316, 百位: 4, 十位: 8, 个位: 3, 日期: 2023-11-26
期号: 2023317, 百位: 1, 十位: 3, 个位: 1, 日期: 2023-11-27
期号: 2023318, 百位: 0, 十位: 1, 个位: 4, 日期: 2023-11-28
期号: 2023319, 百位: 7, 十位: 2, 个位: 7, 日期: 2023-11-29

=== 最近三期个位连号 [2, 0, 8] 的历史中间期号及前后5期（倒序排列） ===

--- 个位连号中间期号: 2008056 前后5期 ---
期号: 2008051, 百位: 3, 十位: 6, 个位: 3, 日期: 2008-02-27
期号: 2008052, 百位: 6, 十位: 9, 个位: 0, 日期: 2008-02-28
期号: 2008053, 百位: 1, 十位: 5, 个位: 6, 日期: 2008-02-29
期号: 2008054, 百位: 1, 十位: 3, 个位: 2, 日期: 2008-03-01
期号: 2008055, 百位: 8, 十位: 2, 个位: 8, 日期: 2008-03-02
期号: 2008056, 百位: 8, 十位: 3, 个位: 0, 日期: 2008-03-03
期号: 2008057, 百位: 1, 十位: 7, 个位: 2, 日期: 2008-03-04
期号: 2008058, 百位: 8, 十位: 0, 个位: 2, 日期: 2008-03-05
期号: 2008059, 百位: 7, 十位: 9, 个位: 3, 日期: 2008-03-06
期号: 2008060, 百位: 5, 十位: 7, 个位: 0, 日期: 2008-03-07
期号: 2008061, 百位: 5, 十位: 4, 个位: 3, 日期: 2008-03-08

--- 个位连号中间期号: 2009262 前后5期 ---
期号: 2009257, 百位: 8, 十位: 3, 个位: 9, 日期: 2009-09-21
期号: 2009258, 百位: 5, 十位: 4, 个位: 9, 日期: 2009-09-22
期号: 2009259, 百位: 6, 十位: 6, 个位: 6, 日期: 2009-09-23
期号: 2009260, 百位: 4, 十位: 2, 个位: 3, 日期: 2009-09-24
期号: 2009261, 百位: 3, 十位: 9, 个位: 8, 日期: 2009-09-25
期号: 2009262, 百位: 7, 十位: 9, 个位: 0, 日期: 2009-09-26
期号: 2009263, 百位: 2, 十位: 9, 个位: 2, 日期: 2009-09-27
期号: 2009264, 百位: 3, 十位: 4, 个位: 5, 日期: 2009-09-28
期号: 2009265, 百位: 8, 十位: 6, 个位: 9, 日期: 2009-09-29
期号: 2009266, 百位: 8, 十位: 9, 个位: 4, 日期: 2009-09-30
期号: 2009267, 百位: 9, 十位: 3, 个位: 7, 日期: 2009-10-01

--- 个位连号中间期号: 2012151 前后5期 ---
期号: 2012146, 百位: 1, 十位: 9, 个位: 7, 日期: 2012-06-01
期号: 2012147, 百位: 5, 十位: 0, 个位: 2, 日期: 2012-06-02
期号: 2012148, 百位: 7, 十位: 3, 个位: 2, 日期: 2012-06-03
期号: 2012149, 百位: 0, 十位: 3, 个位: 1, 日期: 2012-06-04
期号: 2012150, 百位: 8, 十位: 2, 个位: 8, 日期: 2012-06-05
期号: 2012151, 百位: 1, 十位: 4, 个位: 0, 日期: 2012-06-06
期号: 2012152, 百位: 8, 十位: 0, 个位: 2, 日期: 2012-06-07
期号: 2012153, 百位: 7, 十位: 4, 个位: 6, 日期: 2012-06-08
期号: 2012154, 百位: 8, 十位: 4, 个位: 3, 日期: 2012-06-09
期号: 2012155, 百位: 2, 十位: 6, 个位: 7, 日期: 2012-06-10
期号: 2012156, 百位: 8, 十位: 6, 个位: 2, 日期: 2012-06-11

--- 个位连号中间期号: 2014148 前后5期 ---
期号: 2014143, 百位: 2, 十位: 4, 个位: 4, 日期: 2014-05-31
期号: 2014144, 百位: 0, 十位: 7, 个位: 7, 日期: 2014-06-01
期号: 2014145, 百位: 6, 十位: 1, 个位: 2, 日期: 2014-06-02
期号: 2014146, 百位: 3, 十位: 6, 个位: 7, 日期: 2014-06-03
期号: 2014147, 百位: 5, 十位: 7, 个位: 8, 日期: 2014-06-04
期号: 2014148, 百位: 1, 十位: 8, 个位: 0, 日期: 2014-06-05
期号: 2014149, 百位: 2, 十位: 6, 个位: 2, 日期: 2014-06-06
期号: 2014150, 百位: 1, 十位: 0, 个位: 7, 日期: 2014-06-07
期号: 2014151, 百位: 3, 十位: 9, 个位: 1, 日期: 2014-06-08
期号: 2014152, 百位: 8, 十位: 2, 个位: 1, 日期: 2014-06-09
期号: 2014153, 百位: 3, 十位: 9, 个位: 2, 日期: 2014-06-10

--- 个位连号中间期号: 2019350 前后5期 ---
期号: 2019345, 百位: 5, 十位: 1, 个位: 1, 日期: 2019-12-25
期号: 2019346, 百位: 4, 十位: 7, 个位: 2, 日期: 2019-12-26
期号: 2019347, 百位: 3, 十位: 4, 个位: 8, 日期: 2019-12-27
期号: 2019348, 百位: 8, 十位: 2, 个位: 2, 日期: 2019-12-28
期号: 2019349, 百位: 8, 十位: 7, 个位: 8, 日期: 2019-12-29
期号: 2019350, 百位: 2, 十位: 9, 个位: 0, 日期: 2019-12-30
期号: 2019351, 百位: 8, 十位: 5, 个位: 2, 日期: 2019-12-31
期号: 2020001, 百位: 0, 十位: 8, 个位: 7, 日期: 2020-01-01
期号: 2020002, 百位: 3, 十位: 3, 个位: 7, 日期: 2020-01-02
期号: 2020003, 百位: 0, 十位: 0, 个位: 4, 日期: 2020-01-03
期号: 2020004, 百位: 8, 十位: 0, 个位: 7, 日期: 2020-01-04
